date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:37	744/744	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225a5eaf0f-68d%22	http://dhsprogramming.com/robots.txt		(from )
07:55:38	9552/9552	---MCZ	200	added ('OK')	text/html	etag:W/%225a5eaf10-2550%22	http://dhsprogramming.com/	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/index.html	(from )
07:55:42	104377/104377	---MCZ	200	added ('OK')	text/css	etag:W/%225a5eaf10-197b9%22	http://dhsprogramming.com/css/bootstrap.min.css	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/css/bootstrap.min.css	(from http://dhsprogramming.com/)
07:55:42	6245/6245	---MCZ	200	added ('OK')	text/css	etag:W/%225a5eaf10-1865%22	http://dhsprogramming.com/css/freelancer.css	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/css/freelancer.css	(from http://dhsprogramming.com/)
07:55:44	93062/93062	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225a5eaf10-16b86%22	http://dhsprogramming.com/favicon.ico	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/favicon.ico	(from http://dhsprogramming.com/)
07:55:51	6866/6866	---M--	200	added ('OK')	image/png	etag:%225a5eaf10-1ad2%22	http://dhsprogramming.com/img/profile.png	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/img/profile.png	(from http://dhsprogramming.com/)
07:55:51	17780/17780	---MCZ	200	added ('OK')	text/css	etag:W/%225a5eaf10-4574%22	http://dhsprogramming.com/font-awesome/css/font-awesome.min.css	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/font-awesome/css/font-awesome.min.css	(from http://dhsprogramming.com/)
07:55:58	2389/2389	---MCZ	200	added ('OK')	text/html	etag:W/%225a5eaf10-955%22	http://dhsprogramming.com/NAG.html	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/NAG.html	(from http://dhsprogramming.com/)
07:56:10	62940/62940	---M--	200	added ('OK')	image/png	etag:%225a5eaf10-f5dc%22	http://dhsprogramming.com/img/portfolio/2048Slide.png	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/img/portfolio/2048Slide.png	(from http://dhsprogramming.com/)
07:56:12	3228/3228	---MCZ	200	added ('OK')	text/html	etag:W/%225a5eaf0f-c9c%22	http://dhsprogramming.com/2048Slide.html	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/2048Slide.html	(from http://dhsprogramming.com/)
07:56:12	2091/2091	---MCZ	200	added ('OK')	text/html	etag:W/%225a5eaf0f-82b%22	http://dhsprogramming.com/DHSLinks.html	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/DHSLinks.html	(from http://dhsprogramming.com/)
07:56:18	2085/2085	---MCZ	200	added ('OK')	text/html	etag:W/%225a5eaf10-825%22	http://dhsprogramming.com/FlipFlop.html	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/FlipFlop.html	(from http://dhsprogramming.com/)
07:56:22	1677/1677	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225a5eaf0f-68d%22	http://dhsprogramming.com/filePortal.html	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/filePortal.d.delayed	(from http://dhsprogramming.com/)
07:56:48	182156/182156	---M--	200	added ('OK')	image/png	etag:%225a5eaf10-2c78c%22	http://dhsprogramming.com/img/portfolio/DHSLinks.png	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/img/portfolio/DHSLinks.png	(from http://dhsprogramming.com/)
07:56:50	5277/5277	---MCZ	200	added ('OK')	text/html	etag:W/%225a5eaf10-149d%22	http://dhsprogramming.com/Voltorb/volt.html	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/Voltorb/volt.html	(from http://dhsprogramming.com/)
07:56:53	412425/412425	---M--	200	added ('OK')	image/png	etag:%225a5eaf10-64b09%22	http://dhsprogramming.com/img/portfolio/NAG.png	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/img/portfolio/NAG.png	(from http://dhsprogramming.com/)
07:57:00	1564/1564	---MCZ	200	added ('OK')	text/html	etag:W/%225a5eaf0f-61c%22	http://dhsprogramming.com/ElOtro/otro.html	/home/fuzzy/websites/DHSprogrammingclub/dhsprogramming.com/ElOtro/otro.html	(from http://dhsprogramming.com/)
